1.01968 0.000322917
1.40701 0.000346253
1.94133 0.000366131
3.00766 0.000395339
4.04458 0.000420962
6.9462 0.000464159
10.0908 0.000497702
12.2404 0.000511789
27.0225 0.000592553
37.3075 0.000700575
52.174 0.000828289
74.3657 0.000932603
91.9751 0.000979285
161.093 0.00114976
232.54 0.00125017
266.21 0.00128556
335.596 0.00130362
387.331 0.00182224
421.471 0.00212458
515.393 0.00292864
582.817 0.00334382
784.91 0.00464159
1043.4 0.0062657
1299.01 0.00676555
1535.99 0.00720403
1608.67 0.00894366
1663.19 0.0110262
1788.18 0.0149885
1897.12 0.0187382
2038.74 0.0234259
2233.97 0.0301153
2612.14 0.0432876
3154.15 0.0622213
3371.56 0.0945709
3531.78 0.121576
3846.97 0.169943
4161.49 0.218471
4710.85 0.301153
4710.85 0.301153
